nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName
FHALL02301,675,776,1,Tower,HALL,Lobby Hallway 1,Hallway F02301
FHALL02401,795,776,1,Tower,HALL,Lobby Hallway 2,Hallway F02401
FHALL02501,795,735,1,Tower,HALL,Lobby Hallway 3,Hallway F02501
FHALL02601,856,735,1,Tower,HALL,Lobby Hallway 4,Hallway F02601
FHALL02701,896,735,1,Tower,HALL,Lobby Hallway 7,Hallway F02701
FHALL02801,578,776,1,Tower,HALL,Lobby Entrance Hallway,HallwayF02801
FHALL02901,530,776,1,Tower,HALL,75 Lobby,75 Lobby
FHALL03001,475,742,1,Tower,HALL,Lobby Hallway 5,Hallway F02701
FHALL03101,856,472,1,Tower,HALL,Lobby Hallway 6,Hallway F02801
FHALL03201,588,525,1,Tower,HALL,Tower Hallway 13,Hallway F03201
FHALL03301,896,778,1,Tower,HALL,Emergency Hallway,Hallway F03301
FINFO00101,530,722,1,Tower,INFO,75 Lobby Information Desk,Lobby Info Desk
FLABS00101,675,746,1,Tower,LABS,Obstetrics Admitting,Obs Admitting
FREST00101,920,472,1,Tower,REST,Bathroom 75 Lobby,Bathroom Lobby
FRETL00101,800,340,1,Tower,RETL,Lobby Vending Machine,VM Lobby
FRETL00201,370,740,1,Tower,RETL,Au Bon Pain,ABP
FSERV00101,780,370,1,Tower,SERV,Shattuck Street Lobby ATM,Lobby ATM
FSERV00201,410,530,1,Tower,SERV,Tower Medical Cashier,Tower Cashier
FSERV00301,533,668,1,Tower,SERV,Kessler Library,Kessler Library
FSERV00401,511,463,1,Tower,DEPT,Spiritual Care Office,SCO
FSERV00501,455,820,1,Tower,SERV,75 Lobby Valet Cashier,Valet Cashier
FSTAI00101,878,359,1,Tower,STAI,Lobby Shattuck Street Stairs,Stairway F00101
FSTAI00201,532,294,1,Tower,STAI,Tower Stairway 1,Tower Stairs 1
FSTAI00301,755,738,1,Tower,STAI,Lobby Escalator,Lobby Escalator
WELEV00L01,644,426,1,Tower,ELEV,Elevator L Floor 1,Elevator L1
WELEV00M01,673,815,1,Tower,ELEV,Elevator M Floor 1,Elevator M1
HBATH00102,464,485,2,Tower,BATH,Bathroom 1 Tower Floor 2,Bathroom 0102
HDEPT00102,893,817,2,Tower,DEPT,Endoscopy,Endoscopy
HHALL00102,717,427,2,Tower,HALL,Hallway Connector 1 Floor 2,Hallway H00102
HHALL00202,820,415,2,Tower,HALL,Hallway Connector 2 Floor 2,Hallway H00202
HHALL00402,706,533,2,Tower,HALL,Hallway Connector 4 Floor 2,Hallway H00402
HHALL00502,670,540,2,Tower,HALL,Hallway Connector 5 Floor 2,Hallway H00502
HHALL00602,605,602,2,Tower,HALL,Hallway Connector 6 Floor 2,Hallway H00602
HHALL00702,582,657,2,Tower,HALL,Hallway Connector 7 Floor 2,Hallway H00702
HHALL00802,580,730,2,Tower,HALL,Hallway Connector 8 Floor 2,Hallway H00802
HHALL00902,580,780,2,Tower,HALL,Hallway Connector 9 Floor 2,Hallway H00902
HHALL01002,893,786,2,Tower,HALL,Hallway Connector 10 Floor 2,Hallway H01002
HRETL00102,730,330,2,Tower,RETL,Garden Cafe,Garden Cafe
HRETL00202,437,533,2,Tower,RETL,Vending Machine Floor 2?,Vending Machine
HRETL00302,726,628,2,Tower,RETL,Gift Shop Tower Floor 2,Gift Shop
HSTAI00102,893,367,2,Tower,STAI,Stairwell 1 Floor 2,Stairwell 0102
HSTAI00202,534,703,2,Tower,STAI,Stairwell 2 Tower Floor 2,Stairwell 0202
HSTAI00302,690,736,2,Tower,STAI,Escalator 1 Floor 2,Escalator 1 Floor 2
WELEV00L02,643,429,2,Tower,ELEV,Elevator L Floor 2,Elevator L2
WELEV00M02,679,821,2,Tower,ELEV,Elevator M Floor 2,Elevator M2
WHALL00702,580,840,2,Tower,HALL,Hallway Connector 7 Floor 2,Hallway W0702
HBATH00103,645,340,3,Tower,BATH,Bathroom 1 Tower Floor 3,Bathroom 0103
HBATH00203,630,495,3,Tower,BATH,Bathroom 2 Tower Floor 3,Bathroom 0203
HDEPT00103,550,415,3,Tower,DEPT,Dialysis Waiting Room,Dialysis WR
HDEPT00203,545,335,3,Tower,DEPT,MICU 3BC Waiting Room,MICU 3BC WR
HHALL00103,185,160,3,Tower,HALL,Hallway Connector 1 Floor 3,Hallway H00103
HHALL00203,98,480,3,Tower,HALL,Hallway Connector 2 Floor 3,Hallway H00203
HHALL00303,182,480,3,Tower,HALL,Hallway Connector 3 Floor 3,Hallway H00303
HHALL00403,186,775,3,Tower,HALL,Hallway Connector 4 Floor 3,Hallway H00403
HHALL00503,540,780,3,Tower,HALL,Hallway Connector 5 Floor 3,Hallway H00502
HHALL00603,592,433,3,Tower,HALL,Hallway Connector 6 Floor 3,Hallway H00603
HHALL00703,594,392,3,Tower,HALL,Hallway Connector 7 Floor 3,Hallway H00703
HHALL00803,594,348,3,Tower,HALL,Hallway Connector 8 Floor 3,Hallway H00803
HHALL00903,594,320,3,Tower,HALL,Hallway Connector 9 Floor 3,Hallway H00903
HHALL01003,640,319,3,Tower,HALL,Hallway Connector 10 Floor 3,Hallway H01003
HHALL01103,547,321,3,Tower,HALL,Hallway Connector 11 Floor 3,Hallway H01103
HHALL01203,460,320,3,Tower,HALL,Hallway Connector 12 Floor 3,Hallway H01203
HHALL01303,460,530,3,Tower,HALL,Hallway Connector 13 Floor 3,Hallway H01303
HHALL01403,590,525,3,Tower,HALL,Hallway Connector 14 Floor 3,Hallway H01403
HHALL01503,592,478,3,Tower,HALL,Hallway Connector 15 Floor 3,Hallway H01503
HLABS00103,37,374,3,Tower,LABS,Reproductive Endocrine Labs,Reproductive Endocrine Labs
HSERV00103,619,365,3,Tower,SERV,Nursing Room,Nursing Room
HSTAI00103,540,740,3,Tower,STAI,Stairwell 1 Floor 3,Stairwell
WELEV00L03,640,430,3,Tower,ELEV,Elevator L Floor 3,Elevator L3
WELEV00M03,670,800,3,Tower,ELEV,Elevator M Floor 3,Elevator M3
CDEPT002L1,837,341,L1,Tower,DEPT,Day Surgery Family Waiting Floor L1,Department C002L1
CDEPT003L1,700,340,L1,Tower,DEPT,Day Surgery Family Waiting Exit Floor L1,Department C003L1
CHALL001L1,588,430,L1,Tower,HALL,Hallway 1 Floor L1,Hallway C001L1
CHALL005L1,606,790,L1,Tower,HALL,Hallway 5 Floor L1,Hallway C005L1
CHALL006L1,987,790,L1,Tower,HALL,Hallway 6 Floor L1,Hallway C006L1
CHALL007L1,990,550,L1,Tower,HALL,Hallway 7 Floor L1,Hallway C007L1
CHALL014L1,700,430,L1,Tower,HALL,Hallway 14 Floor L1,Hallway C014L1
CLABS001L1,825,775,L1,Tower,LABS,Outpatient Fluoroscopy Floor L1,Lab C001L1
CLABS002L1,585,595,L1,Tower,LABS,Pre-Op PACU Floor L1,Lab C002L1
CREST001L1,550,525,L1,Tower,REST,Restroom L Elevator Floor L1,Restroom C001L1
WELEV00LL1,643,425,L1,Tower,ELEV,Elevator L Floor L1,Elevator LL1
WELEV00ML1,675,820,L1,Tower,ELEV,Elevator M Floor L1,Elevator ML1
CHALL005L2,605,785,L2,Tower,HALL,Hallway 5 Floor L2,Hallway C005L2
CHALL006L2,600,515,L2,Tower,HALL,Hallway 6 Floor L2,Hallway C006L2
CHALL007L2,590,515,L2,Tower,HALL,Hallway 7 Floor L2,Hallway C007L2
CHALL008L2,590,425,L2,Tower,HALL,Hallway 8 Floor L2,Hallway C008L2
CHALL009L2,585,350,L2,Tower,HALL,Hallway 9 Floor L2,Hallway C009L2
CHALL010L2,985,350,L2,Tower,HALL,Hallway 10 Floor L2,Hallway C010L2
WELEV00LL2,640,430,L2,Tower,ELEV,Elevator L Floor L2,Elevator LL2
WELEV00ML2,680,815,L2,Tower,ELEV,Elevator M Floor L2,Elevator ML2
fSTOR001L1,525,350,L1,Tower,STOR,OR Bed Park,OR Bed Park
fSTOR00101,340,430,1,Tower,STOR,West Plaza,West Plaza
fSTOR00103,380,270,3,Tower,STOR,Clean Equipment Storage B,Clean Equipment Storage
fSTOR00203,380,590,3,Tower,STOR,Clean Equipment Storage C,Clean Equipment Storage
fSTOR00303,530,530,3,Tower,STOR,Bed and Recliner Storage A,Bed and Recliner Storage A
fSTOR00403,530,320,3,Tower,STOR,Bed and Recliner Storage B,Bed and Recliner Storage B
fSTOR00503,420,430,3,Tower,STOR,Dirty Equipment Storage,Dirty Equipment Storage
fPATI00103,475,255,3,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI00203,460,210,3,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI00303,430,190,3,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI00403,370,180,3,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI00503,350,190,3,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI00603,300,230,3,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI00703,300,250,3,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI00803,300,315,3,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI00903,315,340,3,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI01003,375,375,3,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI01103,370,480,3,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI01203,315,510,3,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI01303,310,530,3,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI01403,300,590,3,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI01503,300,620,3,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI01603,345,665,3,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI01703,375,665,3,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI01803,430,660,3,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI01903,450,650,3,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI02003,475,595,3,Tower,PATI,Patient Bed Pod C,Patient Bed C
fSTOR00603,555,161,3,Tower,STOR,Demo,Demo
