nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName
CLABS001L1,3538,3126,L1,Tower,LABS,Outpatient Fluoroscopy Floor L1,Lab C001L1
CLABS002L1,2460,2380,L1,Tower,LABS,Pre-Op PACU Floor L1,Lab C002L1
CREST001L1,2350,2170,L1,Tower,REST,Restroom L Elevator Floor L1,Restroom C001L1
WELEV00LL1,2680,1762,L1,Tower,ELEV,Elevator L Floor L1,Elevator LL1
WELEV00ML1,2804,3400,L1,Tower,ELEV,Elevator M Floor L1,Elevator ML1
CHALL005L2,2500,3280,L2,Tower,HALL,Hallway 5 Floor L2,Hallway C005L2
CHALL006L2,2500,2100,L2,Tower,HALL,Hallway 6 Floor L2,Hallway C006L2
CHALL007L2,2433,2091,L2,Tower,HALL,Hallway 7 Floor L2,Hallway C007L2
CHALL008L2,2470,1762,L2,Tower,HALL,Hallway 8 Floor L2,Hallway C008L2
CHALL009L2,2437,1475,L2,Tower,HALL,Hallway 9 Floor L2,Hallway C009L2
CHALL010L2,4100,1460,L2,Tower,HALL,Hallway 10 Floor L2,Hallway C010L2
WELEV00LL2,2680,1770,L2,Tower,ELEV,Elevator L Floor L2,Elevator LL2
WELEV00ML2,2825,3375,L2,Tower,ELEV,Elevator M Floor L2,Elevator ML2
fSTOR001L1,2190,1480,L1,Tower,STOR,OR Bed Park,OR Bed Park
fSTOR00101,1425,1770,1,Tower,STOR,West Plaza,West Plaza
fSTOR00103,1610,1123,3,Tower,STOR,Clean Equipment Storage B,Clean Equipment Storage
fSTOR00203,1610,2439,3,Tower,STOR,Clean Equipment Storage C,Clean Equipment Storage
fSTOR00303,2204,2223,3,Tower,STOR,Bed and Recliner Storage A,Bed and Recliner Storage A
fSTOR00403,2213,1304,3,Tower,STOR,Bed and Recliner Storage B,Bed and Recliner Storage B
fSTOR00503,1673,1763,3,Tower,STOR,Dirty Equipment Storage,Dirty Equipment Storage
fPATI00103,1976,1033,3,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI00203,1913,846,3,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI00303,1788,763,3,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI00403,1539,722,3,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI00503,1456,763,3,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI00603,1248,929,3,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI00703,1248,1012,3,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI00803,1248,1282,3,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI00903,1310,1386,3,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI01003,1560,1531,3,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI01103,1539,1967,3,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI01203,1310,2091,3,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI01303,1289,2174,3,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI01403,1248,2423,3,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI01503,1248,2548,3,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI01603,1435,2734,3,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI01703,1560,2734,3,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI01803,1788,2714,3,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI01903,1872,2672,3,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI02003,1976,2444,3,Tower,PATI,Patient Bed Pod C,Patient Bed C
fSTOR00104,1610,1123,4,Tower,STOR,Clean Equipment Storage B,Clean Equipment Storage
fSTOR00204,1610,2439,4,Tower,STOR,Clean Equipment Storage C,Clean Equipment Storage
fSTOR00304,2204,2223,4,Tower,STOR,Bed and Recliner Storage A,Bed and Recliner Storage A
fSTOR00404,2213,1304,4,Tower,STOR,Bed and Recliner Storage B,Bed and Recliner Storage B
fSTOR00504,1673,1763,4,Tower,STOR,Dirty Equipment Storage,Dirty Equipment Storage
fPATI00104,1976,1033,4,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI00204,1913,846,4,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI00304,1788,763,4,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI00404,1539,722,4,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI00504,1456,763,4,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI00604,1248,929,4,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI00704,1248,1012,4,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI00804,1248,1282,4,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI00904,1310,1386,4,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI01004,1560,1531,4,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI01104,1539,1967,4,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI01204,1310,2091,4,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI01304,1289,2174,4,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI01404,1248,2423,4,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI01504,1248,2548,4,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI01604,1435,2734,4,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI01704,1560,2734,4,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI01804,1788,2714,4,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI01904,1872,2672,4,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI02004,1976,2444,4,Tower,PATI,Patient Bed Pod C,Patient Bed C
fSTOR00105,1610,1123,5,Tower,STOR,Clean Equipment Storage B,Clean Equipment Storage
fSTOR00205,1610,2439,5,Tower,STOR,Clean Equipment Storage C,Clean Equipment Storage
fSTOR00305,2204,2223,5,Tower,STOR,Bed and Recliner Storage A,Bed and Recliner Storage A
fSTOR00405,2213,1304,5,Tower,STOR,Bed and Recliner Storage B,Bed and Recliner Storage B
fSTOR00505,1673,1763,5,Tower,STOR,Dirty Equipment Storage,Dirty Equipment Storage
fPATI00105,1976,1033,5,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI00205,1913,846,5,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI00305,1788,763,5,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI00405,1539,722,5,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI00505,1456,763,5,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI00605,1248,929,5,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI00705,1248,1012,5,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI00805,1248,1282,5,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI00905,1310,1386,5,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI01005,1560,1531,5,Tower,PATI,Patient Bed Pod B,Patient Bed B
fPATI01105,1539,1967,5,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI01205,1310,2091,5,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI01305,1289,2174,5,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI01405,1248,2423,5,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI01505,1248,2548,5,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI01605,1435,2734,5,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI01705,1560,2734,5,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI01805,1788,2714,5,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI01905,1872,2672,5,Tower,PATI,Patient Bed Pod C,Patient Bed C
fPATI02005,1976,2444,5,Tower,PATI,Patient Bed Pod C,Patient Bed C
